CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
111421015,12/27/2015,21:30:00,12/28/2015,07:50:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,STREET,,,996198,175297,40.647826569,-73.956945239,"(40.647826569, -73.956945239)"
719022687,12/27/2015,21:15:00,12/27/2015,21:29:00,12/28/2015,359,OFFENSES AGAINST PUBLIC ADMINI,750,RESISTING ARREST,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,113,,STREET,,,1041916,187261,40.680485333,-73.792092404,"(40.680485333, -73.792092404)"
492920411,12/27/2015,21:15:00,,,12/28/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,113,,STREET,,,1041916,187261,40.680485333,-73.792092404,"(40.680485333, -73.792092404)"
249228007,12/27/2015,21:10:00,12/27/2015,21:40:00,12/28/2015,352,CRIMINAL TRESPASS,203,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,61,FRONT OF,OTHER,,,999025,155372,40.593132332,-73.946801376,"(40.593132332, -73.946801376)"
663053526,12/27/2015,21:00:00,,,12/28/2015,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,FRONT OF,STREET,,,1058111,206086,40.73203497,-73.733496772,"(40.73203497, -73.733496772)"
273738790,12/27/2015,21:00:00,12/28/2015,11:00:00,12/28/2015,110,GRAND LARCENY OF MOTOR VEHICLE,451,"LARCENY,GRAND OF MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,110,FRONT OF,RESIDENCE-HOUSE,,,1019795,209624,40.741982863,-73.871729263,"(40.741982863, -73.871729263)"
984282561,12/27/2015,21:00:00,12/28/2015,10:00:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,FRONT OF,STREET,,,1005159,244320,40.837260749,-73.924438549,"(40.837260749, -73.924438549)"
570657978,12/27/2015,21:00:00,12/28/2015,11:00:00,12/28/2015,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,FRONT OF,STREET,,,1000094,235856,40.814040017,-73.9427629,"(40.814040017, -73.9427629)"
167146929,12/27/2015,21:00:00,12/28/2015,21:15:00,12/28/2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,108,INSIDE,RESIDENCE-HOUSE,,,1009622,211691,40.747691293,-73.908433009,"(40.747691293, -73.908433009)"
792453831,12/27/2015,21:00:00,12/28/2015,15:00:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,63,INSIDE,STREET,,,1006250,167033,40.62512439,-73.920748481,"(40.62512439, -73.920748481)"
